MayaIndex	WeaponID	CostumeID	HairID	ShoeID	StockingID	TexturePath	U1	V1	U2	V2	U3	V3	U4	V4
1	-1	-1	-1	-1	-1	StaticPart/086	0.40234375	0.23339844	0.60058594	0.23339844	0.60058594	0.38769531	0.40234375	0.38769531
2	1	0	-1	-1	-1	PistolPart/085-00	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	2	0	-1	-1	-1	PistolPart/085-00	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	3	0	-1	-1	-1	PistolPart/085-00	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	13	0	-1	-1	-1	PistolPart/085-00	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	1	1	-1	-1	-1	PistolPart/085-01	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	2	1	-1	-1	-1	PistolPart/085-01	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	3	1	-1	-1	-1	PistolPart/085-01	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	13	1	-1	-1	-1	PistolPart/085-01	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	1	2	-1	-1	-1	PistolPart/085-02	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	2	2	-1	-1	-1	PistolPart/085-02	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	3	2	-1	-1	-1	PistolPart/085-02	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	13	2	-1	-1	-1	PistolPart/085-02	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	1	3	-1	-1	-1	PistolPart/085-03	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	2	3	-1	-1	-1	PistolPart/085-03	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	3	3	-1	-1	-1	PistolPart/085-03	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	13	3	-1	-1	-1	PistolPart/085-03	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	1	4	-1	-1	-1	PistolPart/085-04	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	2	4	-1	-1	-1	PistolPart/085-04	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	3	4	-1	-1	-1	PistolPart/085-04	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	13	4	-1	-1	-1	PistolPart/085-04	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	1	5	-1	-1	-1	PistolPart/085-05	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	2	5	-1	-1	-1	PistolPart/085-05	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	3	5	-1	-1	-1	PistolPart/085-05	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	13	5	-1	-1	-1	PistolPart/085-05	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	1	6	-1	-1	-1	PistolPart/085-06	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	2	6	-1	-1	-1	PistolPart/085-06	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	3	6	-1	-1	-1	PistolPart/085-06	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	13	6	-1	-1	-1	PistolPart/085-06	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	1	7	-1	-1	-1	PistolPart/085-07	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	2	7	-1	-1	-1	PistolPart/085-07	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	3	7	-1	-1	-1	PistolPart/085-07	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	13	7	-1	-1	-1	PistolPart/085-07	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	1	8	-1	-1	-1	PistolPart/085-08	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	2	8	-1	-1	-1	PistolPart/085-08	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	3	8	-1	-1	-1	PistolPart/085-08	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	13	8	-1	-1	-1	PistolPart/085-08	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	1	9	-1	-1	-1	PistolPart/085-09	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	2	9	-1	-1	-1	PistolPart/085-09	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	3	9	-1	-1	-1	PistolPart/085-09	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	13	9	-1	-1	-1	PistolPart/085-09	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	1	10	-1	-1	-1	PistolPart/085-10	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	2	10	-1	-1	-1	PistolPart/085-10	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	3	10	-1	-1	-1	PistolPart/085-10	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
2	13	10	-1	-1	-1	PistolPart/085-10	0.817382813	0.811523438	0.883789063	0.811523438	0.883789063	0.864257813	0.817382813	0.864257813
